Nama Sukuk,Nilai Nominal,Interest/ Disc rate,Listing Date,Mature Date
SUKUK IJARAH BERKELANJUTAN II PLN TAHAP I TAHUN 2017 SERI B,"214,000,000,000",8.5,12 Jul 2017,11 Jul 2027
SUKUK IJARAH BERKELANJUTAN II PLN TAHAP II TAHUN 2017 SERI B,"121,000,000,000",8.2,6 Nov 2017,3 Nov 2027
SUKUK IJARAH BERKELANJUTAN II PLN TAHAP II TAHUN 2017 SERI C,"490,000,000,000",8.7,6 Nov 2017,3 Nov 2032
SUKUK IJARAH BERKELANJUTAN II PLN TAHAP III TAHUN 2018 SERI B,"88,000,000,000",7.25,23 Feb 2018,22 Feb 2028
SUKUK IJARAH BERKELANJUTAN II PLN TAHAP III TAHUN 2018 SERI C,"57,500,000,000",8.2,23 Feb 2018,22 Feb 2033
SUKUK IJARAH BERKELANJUTAN II PLN TAHAP III TAHUN 2018 SERI D,"449,000,000,000",8.75,23 Feb 2018,22 Feb 2038
SUKUK IJARAH BERKELANJUTAN II SPINDO TAHAP I TAHUN 2023 SERI A,"3,000,000,000",7.75,5 Apr 2023,11 Apr 2024
SUKUK IJARAH BERKELANJUTAN II SPINDO TAHAP I TAHUN 2023 SERI B,"141,100,000,000",9.5,5 Apr 2023,4 Apr 2026
SUKUK IJARAH BERKELANJUTAN II SPINDO TAHAP I TAHUN 2023 SERI C,"10,900,000,000",10.0,5 Apr 2023,4 Apr 2028
SUKUK IJARAH BERKELANJUTAN II SPINDO TAHAP II TAHUN 2023,"59,650,000,000",7.0,9 Aug 2023,15 Aug 2024
SUKUK IJARAH BERKELANJUTAN II XL AXIAT TAHAP II TAHUN 2019 SERI E,"26,000,000,000",10.0,11 Feb 2019,8 Feb 2029
SUKUK IJARAH BERKELANJUTAN II XL AXIATA TAHAP I TAHUN 2018 SERI D,"34,000,000,000",10.1,17 Oct 2018,16 Oct 2025
SUKUK IJARAH BERKELANJUTAN II XL AXIATA TAHAP I TAHUN 2018 SERI E,"60,000,000,000",10.3,17 Oct 2018,16 Oct 2028
SUKUK IJARAH BERKELANJUTAN II XL AXIATA TAHAP II TAHUN 2019 SERI D,"15,000,000,000",9.7,11 Feb 2019,8 Feb 2026
SUKUK IJARAH BERKELANJUTAN II XL AXIATA TAHAP II TAHUN 2019 SERI E,"26,000,000,000",10.0,11 Feb 2019,8 Feb 2029
SUKUK IJARAH BERKELANJUTAN III GLOBAL MEDIACOM TAHAP I TAHUN 2022 SERI B,"269,630,000,000",10.0,6 Jul 2022,5 Jul 2025
SUKUK IJARAH BERKELANJUTAN III GLOBAL MEDIACOM TAHAP I TAHUN 2022 SERI C,"10,210,000,000",11.0,6 Jul 2022,5 Jul 2027
SUKUK IJARAH BERKELANJUTAN III GLOBAL MEDIACOM TAHAP II TAHUN 2022 SERI B,"96,600,000,000",10.0,19 Sep 2022,16 Sep 2025
SUKUK IJARAH BERKELANJUTAN III GLOBAL MEDIACOM TAHAP II TAHUN 2022 SERI C,"2,250,000,000",11.0,19 Sep 2022,16 Sep 2027
SUKUK IJARAH BERKELANJUTAN III INDOSAT TAHAP I TAHUN 2019 SERI C,"29,000,000,000",9.75,6 Mar 2019,5 Mar 2024
SUKUK IJARAH BERKELANJUTAN III INDOSAT TAHAP I TAHUN 2019 SERI D,"11,000,000,000",10.1,6 Mar 2019,5 Mar 2026
SUKUK IJARAH BERKELANJUTAN III INDOSAT TAHAP I TAHUN 2019 SERI E,"21,000,000,000",10.35,6 Mar 2019,5 Mar 2029
SUKUK IJARAH BERKELANJUTAN III INDOSAT TAHAP II TAHUN 2019 SERI C,"404,000,000,000",9.25,24 Jul 2019,23 Jul 2024
